GameID,HomeTeam,HomeTeamID,AwayTeam,AwayTeamID,Date
22100108,CLE,1610612739,POR,1610612757,20211103
22100109,IND,1610612754,NYK,1610612752,20211103
22100110,ORL,1610612753,BOS,1610612738,20211103
22100111,PHI,1610612755,CHI,1610612741,20211103
22100112,WAS,1610612764,TOR,1610612761,20211103
22100113,BKN,1610612751,ATL,1610612737,20211103
22100114,MEM,1610612763,DEN,1610612743,20211103
22100115,MIN,1610612750,LAC,1610612746,20211103
22100116,SAS,1610612759,DAL,1610612742,20211103
22100117,GSW,1610612744,CHA,1610612766,20211103
22100118,SAC,1610612758,NOP,1610612740,20211103
22100119,DET,1610612765,PHI,1610612755,20211104
22100120,ATL,1610612737,UTA,1610612762,20211104
22100121,MIA,1610612748,BOS,1610612738,20211104
22100122,PHX,1610612756,HOU,1610612745,20211104
22100123,LAL,1610612747,OKC,1610612760,20211104
22100124,DET,1610612765,BKN,1610612751,20211105
22100125,ORL,1610612753,SAS,1610612759,20211105
22100126,WAS,1610612764,MEM,1610612763,20211105
22100127,TOR,1610612761,CLE,1610612739,20211105
22100128,MIL,1610612749,NYK,1610612752,20211105
22100129,MIN,1610612750,LAC,1610612746,20211105
22100130,GSW,1610612744,NOP,1610612740,20211105
22100131,POR,1610612757,IND,1610612754,20211105
22100132,SAC,1610612758,CHA,1610612766,20211105
22100133,DEN,1610612743,HOU,1610612745,20211106
22100134,MIA,1610612748,UTA,1610612762,20211106
22100135,CHI,1610612741,PHI,1610612755,20211106
22100136,DAL,1610612742,BOS,1610612738,20211106
22100137,PHX,1610612756,ATL,1610612737,20211106
22100138,POR,1610612757,LAL,1610612747,20211106
22100139,TOR,1610612761,BKN,1610612751,20211107
22100140,NYK,1610612752,CLE,1610612739,20211107
22100141,ORL,1610612753,UTA,1610612762,20211107
22100142,WAS,1610612764,MIL,1610612749,20211107
22100143,SAC,1610612758,IND,1610612754,20211107
22100144,OKC,1610612760,SAS,1610612759,20211107
22100145,GSW,1610612744,HOU,1610612745,20211107
22100146,LAC,1610612746,CHA,1610612766,20211107
22100147,PHI,1610612755,NYK,1610612752,20211108
22100148,CHI,1610612741,BKN,1610612751,20211108
22100149,MEM,1610612763,MIN,1610612750,20211108
22100150,DAL,1610612742,NOP,1610612740,20211108
22100151,DEN,1610612743,MIA,1610612748,20211108
22100152,GSW,1610612744,ATL,1610612737,20211108
22100153,SAC,1610612758,PHX,1610612756,20211108
22100154,LAL,1610612747,CHA,1610612766,20211108
22100155,PHI,1610612755,MIL,1610612749,20211109
22100156,UTA,1610612762,ATL,1610612737,20211109
22100157,LAC,1610612746,POR,1610612757,20211109
22100158,CLE,1610612739,WAS,1610612764,20211110
22100159,ORL,1610612753,BKN,1610612751,20211110
22100160,BOS,1610612738,TOR,1610612761,20211110
22100161,NYK,1610612752,MIL,1610612749,20211110
22100162,HOU,1610612745,DET,1610612765,20211110
22100163,CHI,1610612741,DAL,1610612742,20211110
22100164,MEM,1610612763,CHA,1610612766,20211110
22100165,NOP,1610612740,OKC,1610612760,20211110
22100166,SAS,1610612759,SAC,1610612758,20211110
22100167,DEN,1610612743,IND,1610612754,20211110
22100168,PHX,1610612756,POR,1610612757,20211110
22100169,GSW,1610612744,MIN,1610612750,20211110
22100170,LAL,1610612747,MIA,1610612748,20211110
22100171,PHI,1610612755,TOR,1610612761,20211111
22100172,UTA,1610612762,IND,1610612754,20211111
22100173,LAC,1610612746,MIA,1610612748,20211111
22100174,CHA,1610612766,NYK,1610612752,20211112
22100175,BOS,1610612738,MIL,1610612749,20211112
22100176,CLE,1610612739,DET,1610612765,20211112
22100177,HOU,1610612745,POR,1610612757,20211112
22100178,MEM,1610612763,PHX,1610612756,20211112
22100179,NOP,1610612740,BKN,1610612751,20211112
22100180,OKC,1610612760,SAC,1610612758,20211112
22100181,SAS,1610612759,DAL,1610612742,20211112
22100182,DEN,1610612743,ATL,1610612737,20211112
22100183,GSW,1610612744,CHI,1610612741,20211112
22100184,LAL,1610612747,MIN,1610612750,20211112
22100185,UTA,1610612762,MIA,1610612748,20211113
22100186,IND,1610612754,PHI,1610612755,20211113
22100187,ORL,1610612753,WAS,1610612764,20211113
22100188,NOP,1610612740,MEM,1610612763,20211113
22100189,TOR,1610612761,DET,1610612765,20211113
22100190,CLE,1610612739,BOS,1610612738,20211113
22100191,LAC,1610612746,MIN,1610612750,20211113
22100192,LAL,1610612747,SAS,1610612759,20211114
22100193,ATL,1610612737,MIL,1610612749,20211114
22100194,CHA,1610612766,GSW,1610612744,20211114
22100195,HOU,1610612745,PHX,1610612756,20211114
22100196,OKC,1610612760,BKN,1610612751,20211114
22100197,DEN,1610612743,POR,1610612757,20211114
22100198,LAC,1610612746,CHI,1610612741,20211114
22100199,CLE,1610612739,BOS,1610612738,20211115
22100200,DET,1610612765,SAC,1610612758,20211115
22100201,WAS,1610612764,NOP,1610612740,20211115
22100202,ATL,1610612737,ORL,1610612753,20211115
22100203,NYK,1610612752,IND,1610612754,20211115
22100204,DAL,1610612742,DEN,1610612743,20211115
22100205,MEM,1610612763,HOU,1610612745,20211115
22100206,MIN,1610612750,PHX,1610612756,20211115
22100207,OKC,1610612760,MIA,1610612748,20211115
22100208,POR,1610612757,TOR,1610612761,20211115
22100209,LAL,1610612747,CHI,1610612741,20211115
22100210,BKN,1610612751,GSW,1610612744,20211116
22100211,UTA,1610612762,PHI,1610612755,20211116
22100212,LAC,1610612746,SAS,1610612759,20211116
22100213,CHA,1610612766,WAS,1610612764,20211117
22100214,DET,1610612765,IND,1610612754,20211117
22100215,ATL,1610612737,BOS,1610612738,20211117
22100216,BKN,1610612751,CLE,1610612739,20211117
22100217,MIA,1610612748,NOP,1610612740,20211117
22100218,NYK,1610612752,ORL,1610612753,20211117
22100219,MIL,1610612749,LAL,1610612747,20211117
22100220,MIN,1610612750,SAC,1610612758,20211117
22100221,OKC,1610612760,HOU,1610612745,20211117
22100222,PHX,1610612756,DAL,1610612742,20211117
22100223,POR,1610612757,CHI,1610612741,20211117
22100224,CLE,1610612739,GSW,1610612744,20211118
22100225,MIA,1610612748,WAS,1610612764,20211118
22100226,MEM,1610612763,LAC,1610612746,20211118
22100227,MIN,1610612750,SAS,1610612759,20211118
22100228,DEN,1610612743,PHI,1610612755,20211118
22100229,UTA,1610612762,TOR,1610612761,20211118
